#Format:
#
#SCTID	Description	parentSCTID	parentDescription
#
# SCTID and Description are required.  parentSCTID is optional.  parentDescription is only provided for convenience, and is ignored 
# by the legoEditor.  The LegoEditor will populate/update this field automatically when the pendingConcept file is read. 
#


# Relationships from the Style Guide or Observation Results presentation
#
36	INHERES IN (attribute)	410662002	Concept model attribute (attribute)
38	INHERENT LOCATION (attribute)	410662002	Concept model attribute (attribute)
39	PROPERTY TYPE (attribute)	410662002	Concept model attribute (attribute)
40	INHERENT INGREDIENT (attribute)	410662002	Concept model attribute (attribute)
41	CHARACTERIZES (attribute)	410662002	Concept model attribute (attribute)
42	PROCESS AGENT (attribute)	410662002	Concept model attribute (attribute)
43	PROCESS DURATION (attribute)	410662002	Concept model attribute (attribute)
44	PROCESS OUTPUT (attribute)	410662002	Concept model attribute (attribute)
45	TOWARD (attribute)	410662002	Concept model attribute (attribute)
46	RELATIVE TO (attribute)	410662002	Concept model attribute (attribute)
47	REL TO PART OF (attribute)	410662002	Concept model attribute (attribute)
48	PRECONDITION (attribute)	410662002	Concept model attribute (attribute)
49	SCALE TYPE (attribute)	410662002	Concept model attribute (attribute)
50	UNITS (attribute)	410662002	Concept model attribute (attribute)
51	TECHNIQUE (attribute)	410662002	Concept model attribute (attribute)
52	DIRECT SITE (attribute)	410662002	Concept model attribute (attribute)
53	IS ABOUT (attribute)	410662002	Concept model attribute (attribute)
54	HAS VALUE (attribute)	410662002	Concept model attribute (attribute)
55	DISPOSITION TYPE (attribute)	410662002	Concept model attribute (attribute)
56	INCLUDES (attribute)	410662002	Concept model attribute (attribute)
57	HAS LOCATION (attribute)	410662002	Concept model attribute (attribute)
58	SITE (attribute)	410662002	Concept model attribute (attribute)

# New allowable value concept from Style Guide
#

#Some remapped concepts that were accidently duplicated (inserted here, out of order, because some are used as parents of concepts below)
1286	Speech Recognition Score on Maryland CNC Word List (observable entity)	251361006	Speech discrimination score (observable entity)
1287	Tenderness (observable entity)	406189006	Pain observable (observable entity)
1288	Cause of retirement (observable entity)	364703007	Employment detail (observable entity)
1289	Head position finding (observable entity)	271605009	Position of body and posture (observable entity)
1290	Eligible for retirement by age (observable entity)	1288	Cause of retirement (observable entity)
1291	Symmetry of spine (observable entity)	364415005	Spinal region observable (observable entity)
1292	Assignment to different duties (observable entity)	224463008	Details relating to changes in job (observable entity)
1293	Pain on flexion (observable entity)	9964006	Flexion, function (observable entity)
1294	Increased tardiness (observable entity)	224399002	Attendance at work (observable entity)
1295	Pain on extenstion (observable entity)	24154002	Musculoskeletal extension, function (observable entity)
1296	Hand dominance (observable entity)	284364006	Hand functions (observable entity)
1297	Loss of control of spincture (observable entity)	129008009	Bowel control, function (observable entity)

# All of these are currently in use in the data I have to import

1001	Periwound observable (observable entity)	364528001	Skin observable (observable entity)
1002	Suicide attempt (process)	415178003	Process (observable entity)
1003	Suicidal ideation (process)	285231000	Mental function (observable entity)
1004	Odor (property)
1005	Smell of wound (observable entity)	364554009	Wound observable (observable entity)
1006	Foul smell of wound (observable entity)
1007	Wound edge observable (observable entity)	364554009	Wound observable (observable entity)
1008	Suicidal ideation	415178003	Process (observable entity)
1009	Crackles (observable entitiy)	52653008	Respiratory sounds (observable entity)
1013	Loudness (property)	118598001	Property of measurement (qualifier value)
1014	Pleural rub (observable entity)	52653008	Respiratory sounds (observable entity)
1015	Pleural rub (observable entity)	52653008	Respiratory sounds (observable entity)
1016	Prolonged time (qualifier value)	7389001	Time frame (qualifier value)
1017	rhonchi (observable entity)	52653008	Respiratory sounds (observable entity)
1019	Stridor (observable entity)	52653008	Respiratory sounds (observable entity)
1020	Wheezing (observable entity)	52653008	Respiratory sounds (observable entity)
1021	Size (property)	118598001	Property of measurement (qualifier value)
1023	Irregularly irregular heart rhythm (observable entity)	364074009	Regularity of heart rhythm (observable entity)
1024	Regular heart rhythm (observable entity)	364074009	Regularity of heart rhythm (observable entity)
1025	Regularly irregular heart rhythm (observable entity)	364074009	Regularity of heart rhythm (observable entity)
1026	Temperature (property)	118598001	Property of measurement (qualifier value)
1028	Nutrition Delivery Device (device)	49062001	Device (physical object)
1029	Occupational Therapy Device (device	49062001	Device (physical object)
1030	Physical Therapy Device (device)	49062001	Device (physical object)
1031	Speech Language Pathology Device (device)	49062001	Device (physical object)
1032	Therapy Device (device)	49062001	Device (physical object)
1034	Raised Toilet Seat (device)	49062001	Device (physical object)
1035	Sock Aid (device)	49062001	Device (physical object)
1036	Condition (condition)	138875005	SNOMED CT Concept (SNOMED RT+CTV3)
1037	Congestive heart failure (condition)	1036	Condition (condition)
1038	Dyspnea (observable entity)	364053008	Characteristic of respiratory tract function (observable entity)
1039	Dyspnea at rest (observable entity)	1038	Dyspnea (observable entity)
1040	Dyspnea on mild exertion (observable entity)	1038	Dyspnea (observable entity)
1041	Dyspnea on moderate exertion (observable entity)	1038	Dyspnea (observable entity)
1042	Dyspnea on severe exertion (observable entity)	1038	Dyspnea (observable entity)
1043	Night Sweats (observable entity)	364538006	Sweating observable (observable entity)
1045	Level of risk (qualifier value)	118598001	Property of measurement (qualifier value)
1049	Has supporting evidence (link assertion)	416698001	Link assertion (link assertion)
1052	Is supporting evidence for (link assertion)	416698001	Link assertion (link assertion)
1053	Number of episodes of congestive heart failure (observable entity)	364066008	Cardiovascular observable (observable entity)
1054	Cardiac rhythm disturbance (observable entity)	364073003	Feature of heart rhythm (observable entity)
1056	Elevated body temperature (observable entity)	386725007	Body temperature (observable entity)
1057	Surgical history (observable entity)	363788007	Clinical history/examination observable (observable entity)
1059	Surgery for abdominal/pelvic cancer (observable entity)	1057	Surgical history (observable entity)
1061	Degree of contraindication (qualifier value)	118598001	Property of measurement (qualifier value)
1063	PLACEHOLDER	138875005	SNOMED CT Concept (SNOMED RT+CTV3)
1064	Venous thromboembolism prophylaxis status (observable entity)	364066008	Cardiovascular observable (observable entity)
1070	Central venous access (observable entity)	364100002	Venous feature (observable entity)
1072	Coagulability (qualifer value)	118598001	Property of measurement (qualifier value)
1075	Logical structure of data collection form (record artifact)	424545009	Record composition (record artifact)
1080	Supporting evidence for observation (observable entity)	363788007	Clinical history/examination observable (observable entity)
1081	Refers to observation (link assertion)	416698001	Link assertion (link assertion)
1083	Oral contraceptive use (observable entity)	424136002	Contraceptive use behavior (observable entity)
1084	Benefit  Outweighs Risk of Pharmacologic VTE Prophylaxis (observable entity)	12431	Venous thromboembolism risk status (observable entity)
1085	Risk Outweighs Benefit of Pharmacologic VTE Prophylaxis  (observable entity)	1064	Venous thromboembolism prophylaxis status (observable entity)
1086	Snoring (observable entity)	363817001	Sleep related observable (observable entity)
1087	Number of episodes of respiratory failure (observable entity)	364048003	Respiratory observable (observable entity)
1090	Number of asthma exacerbations (observable entity)	364048003	Respiratory observable (observable entity)
1093	Accentuated P2 (observable entity)	364079004	Characteristic of second heart sound (observable entity)
1094	Paradoxical splitting of P2  (observable entity)	364079004	Characteristic of second heart sound (observable entity)
1095	Pulmonary ejection click (Observable entity)	364077002	Characteristic of heart sound (observable entity)
1096	Right ventricle heave (observable entity)	364081002	Feature of right ventricle (observable entity)
1098	Chest pain observable (observable entity)	406189006	Pain observable (observable entity)
1099	Non-anginal chest pain observable (observable entity)	1098	Chest pain observable (observable entity)
1100	Non-anginal chest pain on exertion (observable entity)	1099	Non-anginal chest pain observable (observable entity)
1102	Non-anginal chest pain at rest (observable entity)	1099	Non-anginal chest pain observable (observable entity)
1104	Frequency of cough  (observable entity)	364054002	Characteristic of cough (observable entity)
1105	Near-constant cough (observable entity)	1104	Frequency of cough  (observable entity)
1107	Productive cough (observable entity)	364054002	Characteristic of cough (observable entity)
1108	Blood-tinged sputum (observable entity)	364695003	Sputum observable (observable entity)
1109	Clear sputum (observable entity)	277896005	Color of sputum (observable entity)
1110	Mucopurulent sputum (observable entity)	364695003	Sputum observable (observable entity)
1111	Purulent sputum (observable entity)	364695003	Sputum observable (observable entity)
1112	Ambidextrous (observable entity)	57427004	Handedness (observable entity)
1113	Right handedness (observable entity)	57427004	Handedness (observable entity)
1114	Left handedness (observable entity)	57427004	Handedness (observable entity)
1116	Pericardial friction rub (observable entity)	364077002	Characteristic of heart sound (observable entity)
1117	Abnormal heart sounds (observable entity)	271660002	Heart sounds (observable entity)
1118	Opening snap (observable entity)	364077002	Characteristic of heart sound (observable entity)
1119	Heart click (observable entity)	364077002	Characteristic of heart sound (observable entity)
1122	Retirement for medical reasons (observable entity)	364703007	Employment detail (observable entity)
1131	self-employment (observable entity)	224361009	Type of job (observable entity)
1134	Full-time employment (observable entity)	224361009	Type of job (observable entity)
1135	Part-time employment (observable entity)	224361009	Type of job (observable entity)
1136	Seasonal employment (observable entity)	224361009	Type of job (observable entity)
1138	Loss of job (observable entity)	160922003	Job details (observable entity)
1148	Entitlement to benefit status by age (observable entity)	224193009	Entitlement to benefit status (observable entity)
1149	Entitlement to benefit status by duration of work (observable entity)	224193009	Entitlement to benefit status (observable entity)
1150	Numeric grade on a scale 0 to 2 (qualifier value)	272407005	Numeric grade (qualifier value)
1151	Grade 0 on a scale of 0 to 2 (qualifier value)	1150	Numeric grade on a scale 0 to 2 (qualifier value)
1152	Grade 1 on a scale of 0 to 2 (qualifier value)	1150	Numeric grade on a scale 0 to 2 (qualifier value)
1153	Grade 2 on a scale of 0 to 2 (qualifier value)	1150	Numeric grade on a scale 0 to 2 (qualifier value)
1159	Postmilitary employment status (observable entity)	224362002	Employment status (observable entity)
1160	Retired from postmilitary employment (observable entity)	1159	Postmilitary employment status (observable entity)
1165	Employed after military retirement (observable entity)	1159	Postmilitary employment status (observable entity)
1166	Contraindication for procedure (observable entity)	363789004	General characteristic of patient (observable entity)
1168	Metabolic Equivalent (qualifier value)	282412003	Unit of cardiothoracic assessment (qualifier value)
1170	Using cane (observable entity)	165251008	Walking aid use (observable entity)
1172	Using brace (observable entity)	165251008	Walking aid use (observable entity)
1173	Using chrunches (observable entity)	165251008	Walking aid use (observable entity)
1174	Using corrective shoes (observable entity)	165251008	Walking aid use (observable entity)
1175	Using orthotic insert (observable entity)	165251008	Walking aid use (observable entity)
1176	Using walker (observable entity)	165251008	Walking aid use (observable entity)
1177	Incapacitating episodes of spine disease (observable entity)	364415005	Spinal region observable (observable entity)
1191	Urgent desire to urinate (observable entity)	364196001	Micturition feature (observable entity)
1192	Nocturia (observable entity)	364197005	Pattern of urination (observable entity)
1193	Fecal leakage (observable entity)	364171004	Defecation observable (observable entity)
1201	Numbness (observable entity)	363832008	Sensation observable (observable entity)
1204	Paresthesia (observable entity)	363832008	Sensation observable (observable entity)
1210	PNCS_VALUE_FIELD	362981000	Qualifier value (qualifier value)
1214	Stiffness (observable entity)	364561008	Musculoskeletal observable (observable entity)
1215	Spasm (observable entity)	364561008	Musculoskeletal observable (observable entity)
1216	Weakness (observable entity)	364561008	Musculoskeletal observable (observable entity)
1217	Use of sanitary pad required (observable entity)	129009001	Bladder control, function (observable entity)
1218	Cervical spine observable (observable entity)	364415005	Spinal region observable (observable entity)
1219	Protective muscle spasm (observable entity)	364561008	Musculoskeletal observable (observable entity)
1220	Pain on motion (observable entity)	406189006	Pain observable (observable entity)
1222	Thoracolumbar spine observable (observable entity)	364415005	Spinal region observable (observable entity)
1223	Lordosis reversed (observable entity)	249707001	Form of spine (observable entity)
1226	Eligible for retirement by duration of work (observable entity)	1288	Cause of retirement (observable entity)
1227	Posture fix in flexed position (observable entity)	111952004	Spinal posture (observable entity)
1228	Retirement due to psychiatric problem (observable entity)	1288	Cause of retirement (observable entity)
1229	Stoop trunk position (observable entity)	271605009	Position of body and posture (observable entity)
1230	Pelvic tilt (observable entity)	271605009	Position of body and posture (observable entity)
1233	Increased absenteeism (observable entity)	224399002	Attendance at work (observable entity)
1235	Difficulty walking (observable entity)	364578004	Observable feature of walking (observable entity)
1236	Difficulty chewing (observable entity)	1202003	Mastication (observable entity)
1237	Difficulty breathing (observable entity)	248546008	Ease of respiration (observable entity)
1239	Impaired ability to swallow (observable entity)	288935001	Ability to swallow (observable entity)
1241	Numeric grade on a scale 0 to 4 (qualifier value)	272407005	Numeric grade (qualifier value)
1246	Grade 0 on a scale of 0 to 4 (qualifier value)	1241	Numeric grade on a scale 0 to 4 (qualifier value)
1247	Grade 1 on a scale of 0 to 4 (qualifier value)	1241	Numeric grade on a scale 0 to 4 (qualifier value)
1248	Grade 2 on a scale of 0 to 4 (qualifier value)	1241	Numeric grade on a scale 0 to 4 (qualifier value)
1249	Grade 3 on a scale of 0 to 4 (qualifier value)	1241	Numeric grade on a scale 0 to 4 (qualifier value)
1250	Grade 4 on a scale of 0 to 4 (qualifier value)	1241	Numeric grade on a scale 0 to 4 (qualifier value)
1251	Impairment (observable entity)	278844005	General clinical state (observable entity)
1252	Functional impairment (observable entity)	1251	Impairment (observable entity)
1254	Cervical spine - range of motion after repetitive motion (observable entity)	404980009	Spine - range of movement (observable entity)
1256	Range of cervical spine left lateral flexion after repetitive motion (observable entity)	1254	Cervical spine - range of motion after repetitive motion (observable entity)
1258	Range of cervical spine right lateral flexion after repetitive motion (observable entity)	1254	Cervical spine - range of motion after repetitive motion (observable entity)
1260	Range of extension of cervical spine after repetitive motion (observable entity)	1254	Cervical spine - range of motion after repetitive motion (observable entity)
1261	Range of flexion of cervical spine after repetitive motion (observable entity)	1254	Cervical spine - range of motion after repetitive motion (observable entity)
1262	Limititions on range of motion after repetitive motion (observable entity)	404980009	Spine - range of movement (observable entity)
1265	Range of cervical spine left lateral rotation after repetitive motion (observable entity)	1254	Cervical spine - range of motion after repetitive motion (observable entity)
1267	Range of cervical spine right lateral rotation after repetitive motion (observable entity)	1254	Cervical spine - range of motion after repetitive motion (observable entity)
1269	Symptomatic (observable entity)	278844005	General clinical state (observable entity)
1275	Dizziness (observable entity)	278844005	General clinical state (observable entity)
1276	Fatigue (observable entity)	359755007	Energy / stamina (observable entity)
1285	Number of incapacitating episodes of spine disease (observable entity)	364415005	Spinal region observable (observable entity)
620	Undermined
621	Attached
622	Unattached
623	Rolled
629	Finding of temperature of wound
632	Cooler than general body temperature
633	Warmer than general body temperature
634	Cooler than opposite body part
635	Warmer than opposite body part
637	Intrawound
639	Slough
640	Skin structure of ischial tuberosity
1047	Major orthopedic surgery (process)	415178003	Process (observable entity)
1048	Risk of venous thromboembolism (observable entity)	278844005	General clinical state (observable entity)
12431	Venous thromboembolism risk status (observable entity)	364066008	Cardiovascular observable (observable entity)
12432	Venous thromboembolism risk level (observable entity)	278844005	General clinical state (observable entity)
1298	Flare reaction (observable entity)	252098001	Contact sensitivity response (observable entity)
1351	Sitting position (observable entity)	397155001	Body position (observable entity)
1352	Standing position (observable entity)	397155001	Body position (observable entity)
1354	Pain on movement (observable entity)	406189006	Pain observable (observable entity)
2001	Sign (observable entity)	363788007	Clinical history/examination observable (observable entity)
2002	Symptom (observable entity)	363788007	Clinical history/examination observable (observable entity)
2006	Using crutches (observable entity)	165251008	Walking aid use (observable entity)
2007	Flare ups (obsevable entity)	278844005	General clinical state (observable entity)
2008	Radicular pain (observable entity)	406189006	Pain observable (observable entity)
2010	Constant pain (observable entity)	406189006	Pain observable (observable entity)
2012	Duration of incapacitating episodes (observable entity)	364415005	Spinal region observable (observable entity)
2013	Severity of constant pain (observable entity)	2010	Constant pain (observable entity)
2014	Intermittent pain (observable entity)	406189006	Pain observable (observable entity)
2015	Severity of intermittent pain (observable entity)	2014	Intermittent pain (observable entity)
2024	Dysaesthesia (observable entity)	364528001	Skin observable (observable entity)
2026	Skeletal muscle bulk (observable entity)	364574002	Measure of skeletal muscle (observable entity)
2027	Veterans affairs claim file review (observable entity)	302121005	History relating to military service (observable entity)
2031	Military enlistment examination (observable entity)	302121005	History relating to military service (observable entity)
2032	Military separation examination (observable entity)	302121005	History relating to military service (observable entity)
2038	Interviews with collateral witnesses (observable entity)	302121005	History relating to military service (observable entity)
2042	Department of defense form 214 separation documents review (observable entity)	302121005	History relating to military service (observable entity)
2044	Military post-deployment questionnaire review (observable entity)	302121005	History relating to military service (observable entity)
2046	Military service personnel records review (observable entity)	302121005	History relating to military service (observable entity)
2048	Military service treatment records review (observable entity)	302121005	History relating to military service (observable entity)
2050	Veterans health administraton medical records review (observable entity)	302121005	History relating to military service (observable entity)
2051	Work ability status (observable entity)	364703007	Employment detail (observable entity)
2054	Thoracolumbar spine - range of motion after repetitive motion (observable entity)	404980009	Spine - range of movement (observable entity)
2056	Range of extension of thoracolumbar spine after repetitive motion (observable entity)	2054	Thoracolumbar spine - range of motion after repetitive motion (observable entity)
2058	Range of flexion of thoracolumbar spine after repetitive motion (observable entity)	2054	Thoracolumbar spine - range of motion after repetitive motion (observable entity)
2060	Range of thoracolumbar spine left lateral flexion after repetitive motion (observable entity)	2054	Thoracolumbar spine - range of motion after repetitive motion (observable entity)
